WEB ID;dose;weight
1002;5;-1,4
1003;50;-3,1
1004;10;0.1
1005;5;-2,9
1006;5;-1,2
1007;10;-1,9
1008;20;-3,1
1009;5;-0,9
1010;10;-2,2
1011;5;-1,6
1012;5;-0,6
1013;5;-2,6
1014;10;-2,7
1015;5;-0,8
1016;20;-3,3
1017;5;-1,6
1018;1;-1,5
1019;5;-2,5
1020;5;0.1
1021;50;-1,2
1022;20;-0,4
1023;50;-3,8
1024;50;-0,4
1025;100;-5,2
1026;20;-2,2
1027;20;-0,1
1028;20;-1,5
1029;20;-3,2
1030;20;-0,8
1031;15;-2,8
1032;0.5;-2,6
1033;20;-2,7
1034;10;-1,2
1035;10;-1,7
1036;100;-3,2
1037;1;-0,8
1038;20;-2,9
1039;0.5;-1,7
1040;1;-2,8
1041;200;-3,5
1042;200;-1,3
