0,Mean LS,Mean LS extension,Max LS,Max LS extension,Onset of Mortality,Onset of Mortality extension,Num mice
134,912,2.97,1121,2.81,658,-0.90,15
135,851,-3.97,970,-10.98,779,17.27,15
136,1000,12.93,1160,6.39,795,19.73,15
137,913,3.12,1140,4.59,684,2.96,15
138,901,1.70,1063,-2.45,772,16.27,15
139,808,-8.76,942,-13.58,700,5.42,15
141,915,3.34,1045,-4.10,759,14.26,15
142,880,-0.65,1168,7.19,552,-16.87,15
143,901,1.73,1173,7.61,694,4.57,15
144,893,0.78,1150,5.50,665,0.15,15
145,879,-0.80,1005,-7.77,722,8.79,15
146,958,8.19,1160,6.45,765,15.21,15
147,864,-2.43,1015,-6.91,695,4.72,15
148,923,4.22,1217,11.62,662,-0.35,15
149,859,-3.02,1137,4.34,622,-6.33,15
150,932,5.19,1124,3.15,735,10.64,15
151,851,-3.93,1077,-1.19,691,4.12,15
152,897,1.30,1077,-1.16,776,16.92,15
153,890,0.43,1138,4.43,686,3.26,15
154,897,1.30,1123,3.03,721,8.58,15
155,876,-1.07,1012,-7.13,717,8.03,15
156,893,0.85,1146,5.17,649,-2.26,15
157,828,-6.57,996,-8.65,601,-9.44,15
158,867,-2.12,995,-8.69,686,3.26,15
159,931,5.10,1073,-1.53,796,19.93,15
160,818,-7.63,1061,-2.66,648,-2.41,15
161,873,-1.41,1107,1.56,523,-21.29,15
162,912,2.93,1183,8.50,591,-11.04,15
163,832,-6.03,1052,-3.49,545,-17.87,15
164,913,3.03,1262,15.78,615,-7.33,15
165,837,-5.57,1043,-4.31,609,-8.23,15
166,821,-7.35,1059,-2.84,541,-18.47,15
167,921,3.98,1113,2.08,778,17.12,15
168,841,-5.10,1027,-5.78,656,-1.26,15
169,916,3.44,1187,8.87,653,-1.61,15
170,956,7.89,1195,9.63,693,4.42,15
171,891,0.55,1087,-0.31,726,9.29,15
172,947,6.87,1103,1.19,732,10.29,15
173,908,2.52,1141,4.68,675,1.66,15
174,830,-6.31,996,-8.59,593,-10.74,15
175,924,4.32,1037,-4.83,839,26.41,15
176,870,-1.79,1057,-3.03,639,-3.82,15
177,898,1.37,1126,3.30,647,-2.61,15
178,902,1.82,1065,-2.29,770,16.01,15
179,890,0.42,1119,2.69,618,-6.88,15
180,845,-4.64,1065,-2.29,680,2.36,15
181,940,6.13,1207,10.76,742,11.80,15
182,933,5.29,1124,3.12,756,13.91,15
183,895,0.98,1145,5.02,652,-1.81,15
184,898,1.41,1044,-4.19,687,3.41,15
185,905,2.20,1104,1.28,767,15.51,15
186,864,-2.48,1023,-6.18,605,-8.94,15
187,953,7.60,1071,-1.74,787,18.57,15
188,950,7.20,1220,11.90,619,-6.78,15
189,945,6.68,1198,9.88,718,8.18,15
190,905,2.16,1021,-6.36,755,13.76,15
191,943,6.46,1194,9.57,704,6.07,15
192,860,-2.88,969,-11.13,708,6.63,15
193,851,-3.97,1061,-2.66,572,-13.81,15
194,900,1.58,1141,4.68,654,-1.56,15
195,772,-12.81,1061,-2.63,478,-28.01,15
196,917,3.52,1064,-2.35,749,12.75,15
197,981,10.75,1163,6.70,828,24.75,15
198,891,0.63,1026,-5.90,770,16.01,15
199,938,5.83,1101,1.01,790,18.93,15
200,988,11.53,1190,9.17,786,18.37,15
201,837,-5.47,1055,-3.21,555,-16.42,15
202,850,-4.00,1000,-8.23,668,0.60,15
203,976,10.15,1164,6.76,795,19.78,15
204,966,9.09,1189,9.04,769,15.81,10
205,883,-0.35,993,-8.90,721,8.58,15
206,948,6.99,1188,8.96,705,6.12,15
207,886,-0.01,1072,-1.62,715,7.73,15
208,933,5.29,1095,0.46,822,23.85,15
209,878,-0.89,1107,1.59,641,-3.41,15
210,947,6.90,1177,7.95,773,16.42,14
211,939,5.99,1110,1.87,707,6.43,15
212,904,2.00,1122,2.97,749,12.85,15
213,868,-2.04,1027,-5.75,614,-7.48,15
214,994,12.24,1249,14.62,742,11.80,15
